Numero_Identificacion,Renta Año Anterior
5e664f5664dabbcb3c72f6a0bc7770a9771ce53f2d6afdde3f74f62fefe7d932,3037.84
b009fe4f6eaa3cc7cba81e310be73e27127265b781a3b3b1f81d25905bb87c13,1690.75
a95788a7964da6a63e3cbb1729d321cbe7d50fd72f7972efc298d7829045559f,7424.2
424a70e35540df206e406f18fb3ed8449b90fab35c49410caa1bb08370660da5,8083.65
5ea861b9d7897321a0357b29fd2f5ae8e7b52b52f83028d12e265d23880ce3e7,7666.41
2d8005dfa12e57dbfa76f8d70f813d41eca0edee7b645316fc78536207f2f83c,7292.49
fca4ba6b3c6b3d65e29181088b12e2af65d569e09e4c9136781ee690b3823446,10770.13
789f83d635eb45e0ed92cbc77e514b718e1b20c30c4c9a06b722d93c26ef91da,3515.5
40a889d2d857933e6535c90278d4ad18e32cdf5d5836be2b04fc41821ec79d3e,11552.04
3b2368d7d52a1edca633a128dbcf41ea88bec5f5a86c31f8450abd2af6db5942,8524.21
74c5cc406976ce8ab09426f6d5d3f40a26cf185885fcb180223bd94a86797eea,7723.52
c10ff9b266feee5480cf3f575b8fe467c1e0a7ca2e4a9ad45a875de89b98f074,578.59
2b90a4bd208b473ceed6f4d29eca334c1f3814c132701a3cd89c5738d5075c99,7350.95
23f58eb0b79620cbde15fae4d91bdbebd437cf986c576c1d8e83e8763afc167f,7548.48
2a854bd07a9e10d97970619018e6d05c1746f6650ae76d6e828593dc06766a79,10277.6
7a95b214b866c37b5f26081c0ebfc38b1529413c3fa57c65bb40a1dcd5ba131a,903.93
e8702b07bcfe85be88c0dbea6f9c8d4b93271fb0cc2726bc46c0aae31641561d,6225.13
a9b460a58510506bd1d2eb46bb7bb378a7f0f071c81e784c5c753d079a875980,1998.18
108dadf8db9239e73d8e5ff7372fbe6c53bce244f400e67e580a062685d28b5a,11504.86
15959e54c2e6602374abc0dfb2d312841f1a0ffc0ac85e1fc663e17ccc896138,765.84
2920afdcff20a79dd9c5c3d848bf82863bee1cb7adc248dde9f23b425b380266,6739.29
7f43eab10b563af390add69a400ba1d120da4351509fc922c7d3c221ef71578a,4898.47
e5d930825beffe89afd4105801c1319bcd90c6e1f76eb5f08f713d0a12302865,8642.23
d69be1f178dd6f7fc34265097d6e32337d76e96fe39253fccc6782627b6bd220,1178.21
b480409e972069f73db436c7c53d0b18e5b3df2812b19831a3ca99237cc0c527,7219.51
237a2de5ae791c6a6099a36f2ac4cc2d2b653bff3b89872654f2856230685efa,10658.3
2d65c22fee5509b94e24368be13b5a6ad2cf1a381a35f4b39ff458d0e9f0395e,2832.92
0c51bd48d0ae1879fb47c7f902cdd3d3747c078a57b2a70430e0509ae15c8bb5,898.89
05d2433432e80b76c767b7c676392dadafa852910a3bd4c22ebb93d61c4f17cf,7985.19
c807b64c38f079f97aafd30634e7aec7f505d4a6f31cd79d637b2ad2f4133c52,10864.34
7075783cc9d1c96216b28f78a94bc6dd707075300f8868e682cd543680958bbd,6833.3
30047148e8c0432fa9e2cec4985b231507e3399bec4da4f3fc920c78169de7af,7495.26
43aa76f5ff5d6ffdbbcb0c226d2d62e1df65c790ca4ac42542993e2674652a91,3337.61
cfe6d9425f0a3ea27a8ec3f0d4e51712d7ca52ae94bf5aa905039e696d444ee6,6955.65
801c015314ba86c403458dfa8742d37d389766c6e48b8e9fccc29f1cc1a93c91,7783.53
ff3a065bb1eea5762a4ec2f36f7974c8548a212a646cc529907e835a199ca934,499.76
17184b86eac5405e4755541f5d032e00d23d2c411b742a82efa975414339c461,10495.15
b4b40b01944e24cdba1f25e221e6a2f442caf967911f13154b6e01666457e3dd,11611.13
41ad6f9b739e4c39326686b68b2be46bb5814e983350b41f96ebe84fa794f7a0,9260.65
a208069d3283b10798b447befdd9dfce25b5f86fb5e3c8a17fd1f50b33d563c0,9582.68
a57eb2399363d9d06594f9d2e0e741302f887888bcc64026287cfb802cd14a01,2905.17
